'1Vib+Eoyi0iWAJui8cDUDuJQV7V+Hq68B4s6t9zM3wY=','ogz','2016-04-26 13:31:06'::timestamp,'2016-04-26 14:29:05'::timestamp,'A-66-0-019','A-66-0-004'
'YyKWIEJbJkWh7Y3RseByx5LhdtHHg+jtl+23SNc1kgY=','aula','2016-04-25 11:18:51'::timestamp,'2016-04-25 11:50:00'::timestamp,'A-20-0-015','A-20-0-016'
'YyKWIEJbJkWh7Y3RseByx5LhdtHHg+jtl+23SNc1kgY=','world','2016-04-25 12:32:06'::timestamp,'2016-04-26 10:55:03'::timestamp,'None','None'
'YyKWIEJbJkWh7Y3RseByx5LhdtHHg+jtl+23SNc1kgY=','aula','2016-04-25 12:16:39'::timestamp,'2016-04-25 12:32:06'::timestamp,'A-20-0-011','A-20-0-011'
'YyKWIEJbJkWh7Y3RseByx5LhdtHHg+jtl+23SNc1kgY=','world','2016-04-26 12:03:01'::timestamp,'2016-04-26 13:25:51'::timestamp,'None','None'
'YyKWIEJbJkWh7Y3RseByx5LhdtHHg+jtl+23SNc1kgY=','ocp_io','2016-04-26 10:55:03'::timestamp,'2016-04-26 12:03:01'::timestamp,'A-132-0-058','A-132-0-059'
'YyKWIEJbJkWh7Y3RseByx5LhdtHHg+jtl+23SNc1kgY=','ocp_io','2016-04-26 13:25:51'::timestamp,'2016-04-26 13:56:42'::timestamp,'A-132-0-053','A-132-0-053'
'e/deerIS4+Q0uwWk+R0RLe+ylG+73EotFSfkqe4Qw2w=','aula','2016-04-26 10:18:22'::timestamp,'2016-04-26 15:43:04'::timestamp,'A-20-0-030','A-20-0-018'
'e/deerIS4+Q0uwWk+R0RLe+ylG+73EotFSfkqe4Qw2w=','tnw_tn','2016-04-26 15:43:05'::timestamp,'2016-04-26 16:50:30'::timestamp,'A-22-0-065','A-22-0-065'
'EOsNEK0lODum2vgMrtwbfFU2qlXzdjQFiigB42LycPc=','world','2016-04-25 12:06:03'::timestamp,'2016-04-25 13:14:14'::timestamp,'None','None'
'EOsNEK0lODum2vgMrtwbfFU2qlXzdjQFiigB42LycPc=','world','2016-04-25 13:24:41'::timestamp,'2016-04-25 14:38:50'::timestamp,'None','None'
'EOsNEK0lODum2vgMrtwbfFU2qlXzdjQFiigB42LycPc=','citg','2016-04-25 14:38:50'::timestamp,'2016-04-25 15:10:35'::timestamp,'A-23-0-016','A-23-0-016'
'EOsNEK0lODum2vgMrtwbfFU2qlXzdjQFiigB42LycPc=','citg','2016-04-25 15:41:28'::timestamp,'2016-04-25 17:30:31'::timestamp,'A-23-0-022','A-23-0-021'
'EOsNEK0lODum2vgMrtwbfFU2qlXzdjQFiigB42LycPc=','world','2016-04-25 18:11:09'::timestamp,'2016-04-26 12:49:00'::timestamp,'None','None'
'EOsNEK0lODum2vgMrtwbfFU2qlXzdjQFiigB42LycPc=','citg','2016-04-25 17:50:56'::timestamp,'2016-04-25 18:11:09'::timestamp,'A-23-0-027','A-23-0-030'
'EOsNEK0lODum2vgMrtwbfFU2qlXzdjQFiigB42LycPc=','citg','2016-04-26 12:49:00'::timestamp,'2016-04-26 16:50:29'::timestamp,'A-23-0-044','A-23-0-027'
'9+5twU3KR43U1qda5nSlLpGCUAUYclxvzQtpaT9/Izw=','world','2016-04-25 18:01:01'::timestamp,'2016-04-26 08:09:50'::timestamp,'None','None'
'9+5twU3KR43U1qda5nSlLpGCUAUYclxvzQtpaT9/Izw=','aula','2016-04-25 08:40:00'::timestamp,'2016-04-25 18:01:01'::timestamp,'A-20-0-032','A-20-0-044'
'9+5twU3KR43U1qda5nSlLpGCUAUYclxvzQtpaT9/Izw=','aula','2016-04-26 08:09:50'::timestamp,'2016-04-26 18:47:46'::timestamp,'A-20-0-034','A-20-0-034'
'BhrEqrwug1HDch6jhjqIirg+EDcAnFB2W6MA05ytLC0=','world','2016-04-25 15:51:46'::timestamp,'2016-04-25 19:11:50'::timestamp,'None','None'
'BhrEqrwug1HDch6jhjqIirg+EDcAnFB2W6MA05ytLC0=','world','2016-04-25 19:21:52'::timestamp,'2016-04-25 20:47:27'::timestamp,'None','None'
'BMeca08NZDhfPKhd+Ufh0H7pFzH9qd0hhuKXxR5SBVQ=','hsl','2016-04-25 14:44:04'::timestamp,'2016-04-25 15:10:20'::timestamp,'A-64-0-074','A-64-0-074'
'NnKrdOBIKckxCdflaHkJpHie4z14dR1fJ2hcWbd89Hg=','world','2016-04-25 18:21:14'::timestamp,'2016-04-26 09:00:31'::timestamp,'None','None'
'NnKrdOBIKckxCdflaHkJpHie4z14dR1fJ2hcWbd89Hg=','ocp_io','2016-04-25 09:36:29'::timestamp,'2016-04-25 18:21:14'::timestamp,'A-132-0-067','A-132-0-067'
'NnKrdOBIKckxCdflaHkJpHie4z14dR1fJ2hcWbd89Hg=','world','2016-04-26 14:07:15'::timestamp,'2016-04-26 16:40:08'::timestamp,'None','None'
'NnKrdOBIKckxCdflaHkJpHie4z14dR1fJ2hcWbd89Hg=','ocp_io','2016-04-26 09:05:41'::timestamp,'2016-04-26 14:07:15'::timestamp,'A-132-0-068','A-132-0-090'
